receipt_id,purchase_order_id,product_id,warehouse_id,receipt_date,received_quantity,receipt_status
RCV-0005129,PO-004672,TEC-PH-10004614,WH-EAST,2015-01-09,10,Received
RCV-0002382,PO-002157,OFF-BI-10004187,WH-SOUTH,2015-01-10,13,Received
RCV-0004438,PO-004030,TEC-AC-10003174,WH-SOUTH,2015-01-10,10,Received
RCV-0001999,PO-001817,OFF-BI-10001575,WH-EAST,2015-01-11,10,Received
RCV-0002554,PO-002310,OFF-EN-10001990,WH-SOUTH,2015-01-11,11,Received
RCV-0001143,PO-001035,OFF-AP-10000692,WH-WEST,2015-01-12,17,Received
RCV-0003094,PO-002798,OFF-PA-10000659,WH-WEST,2015-01-12,10,Received
RCV-0004473,PO-004063,TEC-AC-10003628,WH-EAST,2015-01-12,10,Received
RCV-0000660,PO-000600,FUR-FU-10002268,WH-EAST,2015-01-13,18,Received
RCV-0000747,PO-000678,FUR-FU-10003194,WH-SOUTH,2015-01-13,18,Received
RCV-0001727,PO-001572,OFF-AR-10004078,WH-CENTRAL,2015-01-13,13,Received
RCV-0002811,PO-002541,OFF-LA-10001074,WH-CENTRAL,2015-01-13,10,Received
RCV-0000039,PO-000035,FUR-BO-10001972,WH-WEST,2015-01-14,10,Received
RCV-0000252,PO-000229,FUR-CH-10002331,WH-EAST,2015-01-14,11,Received
RCV-0000539,PO-000490,FUR-FU-10001095,WH-EAST,2015-01-14,18,Received
RCV-0001570,PO-001431,OFF-AR-10002375,WH-WEST,2015-01-14,19,Received
RCV-0001695,PO-001544,OFF-AR-10003811,WH-SOUTH,2015-01-14,11,Received
RCV-0003965,PO-003596,OFF-ST-10003123,WH-WEST,2015-01-14,12,Received
RCV-0004775,PO-004344,TEC-PH-10001061,WH-CENTRAL,2015-01-14,10,Received
RCV-0002289,PO-002079,OFF-BI-10003676,WH-CENTRAL,2015-01-15,14,Received
RCV-0002565,PO-002321,OFF-EN-10002504,WH-EAST,2015-01-15,12,Received
RCV-0002215,PO-002009,OFF-BI-10003091,WH-EAST,2015-01-16,10,Received
RCV-0003753,PO-003400,OFF-ST-10000760,WH-WEST,2015-01-16,15,Received
RCV-0002416,PO-002187,OFF-BI-10004364,WH-CENTRAL,2015-01-17,10,Received
RCV-0002548,PO-002306,OFF-EN-10001539,WH-EAST,2015-01-17,15,Received
RCV-0003418,PO-003089,OFF-PA-10002893,WH-WEST,2015-01-17,12,Received
RCV-0000720,PO-000654,FUR-FU-10002918,WH-CENTRAL,2015-01-18,10,Received
RCV-0001234,PO-001117,OFF-AP-10002311,WH-CENTRAL,2015-01-18,12,Received
RCV-0001744,PO-001588,OFF-AR-10004456,WH-CENTRAL,2015-01-18,14,Received
RCV-0001865,PO-001699,OFF-BI-10000605,WH-EAST,2015-01-18,15,Received
RCV-0000602,PO-000545,FUR-FU-10001847,WH-EAST,2015-01-19,11,Received
RCV-0002046,PO-001859,OFF-BI-10001758,WH-CENTRAL,2015-01-19,13,Received
RCV-0003047,PO-002755,OFF-PA-10000380,WH-WEST,2015-01-20,15,Received
RCV-0000108,PO-000098,FUR-BO-10004409,WH-CENTRAL,2015-01-21,10,Received
RCV-0003247,PO-002937,OFF-PA-10001804,WH-CENTRAL,2015-01-21,10,Received
RCV-0004006,PO-003635,OFF-ST-10003692,WH-CENTRAL,2015-01-21,11,Received
RCV-0004041,PO-003666,OFF-ST-10004337,WH-SOUTH,2015-01-21,10,Received
RCV-0005142,PO-004684,TEC-PH-10004833,WH-WEST,2015-01-21,13,Received
RCV-0000892,PO-000810,FUR-FU-10004587,WH-CENTRAL,2015-01-22,13,Received
RCV-0001653,PO-001508,OFF-AR-10003514,WH-WEST,2015-01-22,12,Received
RCV-0001842,PO-001677,OFF-BI-10000343,WH-CENTRAL,2015-01-22,11,Received
RCV-0001046,PO-000950,FUR-TA-10003469,WH-EAST,2015-01-23,13,Received
RCV-0004889,PO-004448,TEC-PH-10002103,WH-CENTRAL,2015-01-23,12,Received
RCV-0001616,PO-001474,OFF-AR-10003179,WH-WEST,2015-01-24,19,Received
RCV-0003449,PO-003117,OFF-PA-10003072,WH-CENTRAL,2015-01-24,13,Received
RCV-0003782,PO-003425,OFF-ST-10000991,WH-CENTRAL,2015-01-25,13,Received
RCV-0004273,PO-003875,TEC-AC-10001432,WH-EAST,2015-01-25,21,Received
RCV-0003155,PO-002854,OFF-PA-10001204,WH-CENTRAL,2015-01-26,10,Received
RCV-0003419,PO-003090,OFF-PA-10002893,WH-WEST,2015-01-26,24,Received
RCV-0002181,PO-001976,OFF-BI-10002827,WH-CENTRAL,2015-01-27,15,Received
RCV-0002566,PO-002322,OFF-EN-10002504,WH-WEST,2015-01-28,18,Received
RCV-0000092,PO-000085,FUR-BO-10003966,WH-CENTRAL,2015-01-29,15,Received
RCV-0001235,PO-001118,OFF-AP-10002311,WH-CENTRAL,2015-01-29,15,Received
RCV-0003041,PO-002749,OFF-PA-10000350,WH-WEST,2015-01-29,12,Received
RCV-0002444,PO-002213,OFF-BI-10004593,WH-WEST,2015-01-30,13,Received
RCV-0001872,PO-001706,OFF-BI-10000666,WH-CENTRAL,2015-01-31,18,Received
RCV-0002704,PO-002444,OFF-FA-10001843,WH-CENTRAL,2015-01-31,15,Received
RCV-0002874,PO-002599,OFF-LA-10002787,WH-SOUTH,2015-01-31,10,Received
RCV-0004991,PO-004539,TEC-PH-10002890,WH-SOUTH,2015-01-31,12,Received
RCV-0002394,PO-002168,OFF-BI-10004230,WH-WEST,2015-02-01,13,Received
RCV-0003856,PO-003492,OFF-ST-10001558,WH-EAST,2015-02-01,10,Received
RCV-0005051,PO-004597,TEC-PH-10003645,WH-SOUTH,2015-02-01,10,Received
RCV-0001056,PO-000959,FUR-TA-10003715,WH-WEST,2015-02-04,15,Received
RCV-0001946,PO-001774,OFF-BI-10001196,WH-CENTRAL,2015-02-04,10,Received
RCV-0002965,PO-002679,OFF-LA-10004853,WH-CENTRAL,2015-02-04,11,Received
RCV-0004220,PO-003830,TEC-AC-10000710,WH-EAST,2015-02-04,10,Received
RCV-0004838,PO-004403,TEC-PH-10001615,WH-SOUTH,2015-02-04,10,Received
RCV-0000646,PO-000587,FUR-FU-10002111,WH-WEST,2015-02-05,14,Received
RCV-0001843,PO-001678,OFF-BI-10000343,WH-EAST,2015-02-05,18,Received
RCV-0002456,PO-002223,OFF-BI-10004654,WH-CENTRAL,2015-02-05,11,Received
RCV-0002466,PO-002232,OFF-BI-10004728,WH-SOUTH,2015-02-05,16,Received
RCV-0000663,PO-000603,FUR-FU-10002298,WH-CENTRAL,2015-02-07,10,Received
RCV-0001181,PO-001070,OFF-AP-10001293,WH-CENTRAL,2015-02-07,16,Received
RCV-0003056,PO-002762,OFF-PA-10000466,WH-CENTRAL,2015-02-07,15,Received
RCV-0000130,PO-000119,FUR-CH-10000225,WH-WEST,2015-02-08,10,Received
RCV-0000181,PO-000162,FUR-CH-10001146,WH-CENTRAL,2015-02-08,10,Received
RCV-0003941,PO-003572,OFF-ST-10002583,WH-EAST,2015-02-08,10,Received
RCV-0001904,PO-001738,OFF-BI-10001031,WH-EAST,2015-02-09,10,Received
RCV-0002231,PO-002025,OFF-BI-10003291,WH-WEST,2015-02-09,16,Received
RCV-0004223,PO-003832,TEC-AC-10000736,WH-WEST,2015-02-09,15,Received
RCV-0002075,PO-001885,OFF-BI-10002012,WH-CENTRAL,2015-02-10,10,Received
RCV-0003701,PO-003350,OFF-ST-10000321,WH-WEST,2015-02-11,11,Received
RCV-0001047,PO-000951,FUR-TA-10003469,WH-WEST,2015-02-12,17,Received
RCV-0004078,PO-003700,OFF-SU-10000157,WH-EAST,2015-02-12,11,Received
RCV-0001185,PO-001073,OFF-AP-10001303,WH-EAST,2015-02-13,18,Received
RCV-0003481,PO-003149,OFF-PA-10003363,WH-WEST,2015-02-13,15,Received
RCV-0001666,PO-001518,OFF-AR-10003631,WH-WEST,2015-02-14,13,Received
RCV-0000670,PO-000609,FUR-FU-10002396,WH-WEST,2015-02-16,12,Received
RCV-0003242,PO-002932,OFF-PA-10001800,WH-SOUTH,2015-02-16,10,Received
RCV-0004265,PO-003868,TEC-AC-10001284,WH-CENTRAL,2015-02-16,10,Received
RCV-0000456,PO-000413,FUR-FU-10000221,WH-EAST,2015-02-18,16,Received
RCV-0001048,PO-000951,FUR-TA-10003469,WH-WEST,2015-02-19,6,Received
RCV-0001837,PO-001673,OFF-BI-10000320,WH-CENTRAL,2015-02-20,13,Received
RCV-0002943,PO-002658,OFF-LA-10004425,WH-EAST,2015-02-21,10,Received
RCV-0002980,PO-002693,OFF-PA-10000069,WH-CENTRAL,2015-02-21,18,Received
RCV-0002761,PO-002494,OFF-FA-10004395,WH-CENTRAL,2015-02-22,10,Received
RCV-0000174,PO-000156,FUR-CH-10000863,WH-CENTRAL,2015-02-24,10,Received
RCV-0000992,PO-000901,FUR-TA-10001866,WH-CENTRAL,2015-02-24,15,Received
RCV-0001656,PO-001510,OFF-AR-10003560,WH-SOUTH,2015-02-24,12,Received
RCV-0002251,PO-002045,OFF-BI-10003429,WH-EAST,2015-02-24,16,Received
RCV-0003088,PO-002792,OFF-PA-10000587,WH-EAST,2015-02-25,15,Received
RCV-0003925,PO-003557,OFF-ST-10002486,WH-WEST,2015-02-25,14,Received
RCV-0005053,PO-004599,TEC-PH-10003655,WH-EAST,2015-02-25,13,Received
RCV-0001033,PO-000939,FUR-TA-10002958,WH-EAST,2015-02-26,14,Received
RCV-0001257,PO-001139,OFF-AP-10002534,WH-CENTRAL,2015-02-26,19,Received
RCV-0003818,PO-003457,OFF-ST-10001370,WH-WEST,2015-02-26,15,Received
RCV-0000195,PO-000174,FUR-CH-10001270,WH-SOUTH,2015-02-27,10,Received
RCV-0003443,PO-003111,OFF-PA-10003036,WH-CENTRAL,2015-02-27,10,Received
RCV-0003826,PO-003464,OFF-ST-10001469,WH-EAST,2015-02-27,10,Received
RCV-0005136,PO-004678,TEC-PH-10004700,WH-EAST,2015-02-27,15,Received
RCV-0001471,PO-001337,OFF-AR-10001374,WH-EAST,2015-02-28,12,Received
RCV-0002008,PO-001824,OFF-BI-10001617,WH-WEST,2015-02-28,20,Received
RCV-0004324,PO-003923,TEC-AC-10002001,WH-EAST,2015-02-28,11,Received
RCV-0000283,PO-000259,FUR-CH-10002780,WH-EAST,2015-03-01,10,Received
RCV-0000386,PO-000351,FUR-CH-10004495,WH-WEST,2015-03-01,13,Received
RCV-0001403,PO-001274,OFF-AR-10000588,WH-EAST,2015-03-01,17,Received
RCV-0001475,PO-001341,OFF-AR-10001427,WH-EAST,2015-03-01,11,Received
RCV-0002390,PO-002165,OFF-BI-10004224,WH-CENTRAL,2015-03-01,14,Received
RCV-0002789,PO-002520,OFF-LA-10000305,WH-WEST,2015-03-01,11,Received
RCV-0003266,PO-002954,OFF-PA-10001878,WH-WEST,2015-03-01,10,Received
RCV-0003776,PO-003419,OFF-ST-10000934,WH-WEST,2015-03-02,10,Received
RCV-0004080,PO-003702,OFF-SU-10000381,WH-EAST,2015-03-02,11,Received
RCV-0000383,PO-000348,FUR-CH-10004477,WH-SOUTH,2015-03-04,10,Received
RCV-0001259,PO-001141,OFF-AP-10002578,WH-EAST,2015-03-04,10,Received
RCV-0001442,PO-001311,OFF-AR-10001044,WH-CENTRAL,2015-03-04,10,Received
RCV-0001508,PO-001374,OFF-AR-10001770,WH-WEST,2015-03-04,11,Received
RCV-0003001,PO-002712,OFF-PA-10000174,WH-WEST,2015-03-04,12,Received
RCV-0003347,PO-003027,OFF-PA-10002259,WH-CENTRAL,2015-03-04,11,Received
RCV-0001392,PO-001263,OFF-AR-10000390,WH-WEST,2015-03-05,11,Received
RCV-0003316,PO-002998,OFF-PA-10002137,WH-EAST,2015-03-05,10,Received
RCV-0003909,PO-003542,OFF-ST-10002344,WH-CENTRAL,2015-03-05,16,Received
RCV-0003008,PO-002718,OFF-PA-10000213,WH-CENTRAL,2015-03-07,16,Received
RCV-0004558,PO-004143,TEC-AC-10004877,WH-SOUTH,2015-03-07,11,Received
RCV-0004769,PO-004339,TEC-PH-10000984,WH-EAST,2015-03-07,14,Received
RCV-0001879,PO-001713,OFF-BI-10000773,WH-CENTRAL,2015-03-08,10,Received
RCV-0002697,PO-002439,OFF-FA-10001561,WH-WEST,2015-03-08,12,Received
RCV-0003003,PO-002714,OFF-PA-10000176,WH-WEST,2015-03-08,11,Received
RCV-0003158,PO-002856,OFF-PA-10001215,WH-CENTRAL,2015-03-08,11,Received
RCV-0000836,PO-000759,FUR-FU-10003981,WH-WEST,2015-03-09,19,Received
RCV-0001674,PO-001525,OFF-AR-10003723,WH-WEST,2015-03-09,13,Received
RCV-0002555,PO-002311,OFF-EN-10001990,WH-EAST,2015-03-09,16,Received
RCV-0003972,PO-003603,OFF-ST-10003221,WH-WEST,2015-03-09,12,Received
RCV-0004675,PO-004254,TEC-MA-10003626,WH-CENTRAL,2015-03-09,10,Received
RCV-0000599,PO-000542,FUR-FU-10001756,WH-CENTRAL,2015-03-10,10,Received
RCV-0001081,PO-000980,FUR-TA-10004175,WH-EAST,2015-03-10,16,Received
RCV-0001327,PO-001205,OFF-AP-10003971,WH-WEST,2015-03-10,10,Received
RCV-0001679,PO-001530,OFF-AR-10003732,WH-CENTRAL,2015-03-10,11,Received
RCV-0003127,PO-002827,OFF-PA-10000919,WH-EAST,2015-03-10,18,Received
RCV-0003324,PO-003005,OFF-PA-10002195,WH-EAST,2015-03-10,18,Received
RCV-0003447,PO-003115,OFF-PA-10003063,WH-EAST,2015-03-10,13,Received
RCV-0000318,PO-000288,FUR-CH-10003379,WH-EAST,2015-03-11,10,Received
RCV-0001798,PO-001640,OFF-BI-10000136,WH-CENTRAL,2015-03-11,10,Received
RCV-0002212,PO-002006,OFF-BI-10003007,WH-EAST,2015-03-11,16,Received
RCV-0000098,PO-000091,FUR-BO-10004218,WH-WEST,2015-03-12,16,Received
RCV-0000635,PO-000576,FUR-FU-10001986,WH-SOUTH,2015-03-12,15,Received
RCV-0000893,PO-000811,FUR-FU-10004597,WH-CENTRAL,2015-03-12,15,Received
RCV-0001697,PO-001546,OFF-AR-10003829,WH-EAST,2015-03-12,15,Received
RCV-0003748,PO-003395,OFF-ST-10000736,WH-WEST,2015-03-12,12,Received
RCV-0003772,PO-003416,OFF-ST-10000918,WH-SOUTH,2015-03-12,13,Received
RCV-0004626,PO-004207,TEC-MA-10001148,WH-WEST,2015-03-12,10,Received
RCV-0004644,PO-004225,TEC-MA-10002412,WH-SOUTH,2015-03-12,10,Received
RCV-0001049,PO-000952,FUR-TA-10003473,WH-WEST,2015-03-13,14,Received
RCV-0001988,PO-001809,OFF-BI-10001543,WH-WEST,2015-03-13,14,Received
RCV-0002796,PO-002527,OFF-LA-10000443,WH-CENTRAL,2015-03-13,12,Received
RCV-0003313,PO-002996,OFF-PA-10002120,WH-CENTRAL,2015-03-13,10,Received
RCV-0003427,PO-003096,OFF-PA-10002960,WH-EAST,2015-03-13,14,Received
RCV-0003831,PO-003469,OFF-ST-10001490,WH-CENTRAL,2015-03-13,10,Received
RCV-0004007,PO-003636,OFF-ST-10003692,WH-CENTRAL,2015-03-13,12,Received
RCV-0000563,PO-000509,FUR-FU-10001473,WH-EAST,2015-03-14,10,Received
RCV-0000999,PO-000908,FUR-TA-10001950,WH-CENTRAL,2015-03-14,14,Received
RCV-0001830,PO-001666,OFF-BI-10000309,WH-CENTRAL,2015-03-14,16,Received
RCV-0002952,PO-002666,OFF-LA-10004544,WH-EAST,2015-03-14,13,Received
RCV-0003355,PO-003034,OFF-PA-10002365,WH-EAST,2015-03-14,15,Received
RCV-0003479,PO-003147,OFF-PA-10003349,WH-SOUTH,2015-03-14,20,Received
RCV-0004396,PO-003988,TEC-AC-10002647,WH-EAST,2015-03-14,14,Received
RCV-0004923,PO-004482,TEC-PH-10002415,WH-WEST,2015-03-14,12,Received
RCV-0000201,PO-000180,FUR-CH-10001482,WH-SOUTH,2015-03-15,10,Received
RCV-0001168,PO-001058,OFF-AP-10001154,WH-CENTRAL,2015-03-15,12,Received
RCV-0001619,PO-001477,OFF-AR-10003183,WH-CENTRAL,2015-03-15,11,Received
RCV-0001718,PO-001564,OFF-AR-10004027,WH-EAST,2015-03-15,25,Received
RCV-0003504,PO-003168,OFF-PA-10003641,WH-SOUTH,2015-03-15,13,Received
RCV-0005134,PO-004676,TEC-PH-10004667,WH-CENTRAL,2015-03-15,12,Received
RCV-0000875,PO-000795,FUR-FU-10004270,WH-CENTRAL,2015-03-16,10,Received
RCV-0002739,PO-002475,OFF-FA-10003112,WH-SOUTH,2015-03-16,12,Received
RCV-0003099,PO-002802,OFF-PA-10000675,WH-WEST,2015-03-16,11,Received
RCV-0003905,PO-003538,OFF-ST-10002301,WH-WEST,2015-03-16,16,Received
RCV-0005054,PO-004600,TEC-PH-10003655,WH-EAST,2015-03-16,17,Received
RCV-0000688,PO-000625,FUR-FU-10002508,WH-SOUTH,2015-03-17,10,Received
RCV-0000708,PO-000643,FUR-FU-10002813,WH-WEST,2015-03-17,12,Received
RCV-0000265,PO-000242,FUR-CH-10002439,WH-EAST,2015-03-18,12,Received
RCV-0001491,PO-001357,OFF-AR-10001573,WH-EAST,2015-03-18,10,Received
RCV-0002003,PO-001820,OFF-BI-10001597,WH-CENTRAL,2015-03-18,10,Received
RCV-0002161,PO-001957,OFF-BI-10002735,WH-EAST,2015-03-18,10,Received
RCV-0002941,PO-002656,OFF-LA-10004409,WH-SOUTH,2015-03-18,13,Received
RCV-0003691,PO-003341,OFF-ST-10000078,WH-WEST,2015-03-18,23,Received
RCV-0003720,PO-003368,OFF-ST-10000585,WH-CENTRAL,2015-03-18,10,Received
RCV-0005033,PO-004580,TEC-PH-10003484,WH-WEST,2015-03-18,14,Received
RCV-0001757,PO-001601,OFF-AR-10004685,WH-CENTRAL,2015-03-19,12,Received
RCV-0003156,PO-002855,OFF-PA-10001204,WH-WEST,2015-03-19,15,Received
RCV-0003381,PO-003054,OFF-PA-10002581,WH-CENTRAL,2015-03-19,15,Received
RCV-0004354,PO-003952,TEC-AC-10002323,WH-EAST,2015-03-19,10,Received
RCV-0004759,PO-004330,TEC-PH-10000730,WH-EAST,2015-03-19,13,Received
RCV-0000040,PO-000036,FUR-BO-10001972,WH-EAST,2015-03-20,11,Received
RCV-0000175,PO-000157,FUR-CH-10000863,WH-CENTRAL,2015-03-20,25,Received
RCV-0002423,PO-002194,OFF-BI-10004410,WH-CENTRAL,2015-03-20,11,Received
RCV-0002946,PO-002661,OFF-LA-10004484,WH-SOUTH,2015-03-20,14,Received
RCV-0004388,PO-003980,TEC-AC-10002558,WH-EAST,2015-03-20,15,Received
RCV-0005091,PO-004635,TEC-PH-10004100,WH-WEST,2015-03-20,14,Received
RCV-0001738,PO-001582,OFF-AR-10004272,WH-WEST,2015-03-21,11,Received
RCV-0002845,PO-002572,OFF-LA-10001982,WH-CENTRAL,2015-03-21,15,Received
RCV-0003662,PO-003316,OFF-PA-10004948,WH-EAST,2015-03-21,19,Received
RCV-0001630,PO-001486,OFF-AR-10003338,WH-CENTRAL,2015-03-22,10,Received
RCV-0000041,PO-000036,FUR-BO-10001972,WH-EAST,2015-03-23,5,Received
RCV-0001369,PO-001242,OFF-AR-10000034,WH-CENTRAL,2015-03-23,13,Received
RCV-0002557,PO-002313,OFF-EN-10002230,WH-CENTRAL,2015-03-23,18,Received
RCV-0000296,PO-000269,FUR-CH-10002965,WH-EAST,2015-03-24,21,Received
RCV-0001460,PO-001328,OFF-AR-10001231,WH-WEST,2015-03-24,12,Received
RCV-0001921,PO-001753,OFF-BI-10001097,WH-WEST,2015-03-24,10,Received
RCV-0002019,PO-001835,OFF-BI-10001636,WH-WEST,2015-03-24,14,Received
RCV-0003157,PO-002855,OFF-PA-10001204,WH-WEST,2015-03-24,8,Received
RCV-0004560,PO-004145,TEC-AC-10004901,WH-CENTRAL,2015-03-24,15,Received
RCV-0000243,PO-000221,FUR-CH-10002304,WH-CENTRAL,2015-03-25,11,Received
RCV-0000994,PO-000903,FUR-TA-10001889,WH-EAST,2015-03-25,12,Received
RCV-0001271,PO-001153,OFF-AP-10002765,WH-WEST,2015-03-25,13,Received
RCV-0001521,PO-001385,OFF-AR-10001915,WH-CENTRAL,2015-03-25,10,Received
RCV-0001947,PO-001775,OFF-BI-10001196,WH-SOUTH,2015-03-25,16,Received
RCV-0002421,PO-002192,OFF-BI-10004390,WH-WEST,2015-03-25,12,Received
RCV-0004221,PO-003831,TEC-AC-10000710,WH-SOUTH,2015-03-25,10,Received
RCV-0000745,PO-000676,FUR-FU-10003192,WH-SOUTH,2015-03-26,10,Received
RCV-0001064,PO-000967,FUR-TA-10003954,WH-WEST,2015-03-26,10,Received
RCV-0001784,PO-001627,OFF-BI-10000042,WH-WEST,2015-03-26,14,Received
RCV-0002047,PO-001860,OFF-BI-10001758,WH-CENTRAL,2015-03-26,23,Received
RCV-0002540,PO-002299,OFF-EN-10001509,WH-EAST,2015-03-26,10,Received
RCV-0002859,PO-002585,OFF-LA-10002312,WH-CENTRAL,2015-03-26,15,Received
RCV-0003248,PO-002938,OFF-PA-10001804,WH-SOUTH,2015-03-26,18,Received
RCV-0004863,PO-004426,TEC-PH-10001819,WH-CENTRAL,2015-03-26,16,Received
RCV-0005024,PO-004571,TEC-PH-10003273,WH-SOUTH,2015-03-26,18,Received
RCV-0001806,PO-001646,OFF-BI-10000145,WH-SOUTH,2015-03-27,18,Received
RCV-0002086,PO-001896,OFF-BI-10002071,WH-WEST,2015-03-27,14,Received
RCV-0003205,PO-002896,OFF-PA-10001593,WH-WEST,2015-03-27,10,Received
RCV-0004780,PO-004348,TEC-PH-10001128,WH-CENTRAL,2015-03-27,10,Received
RCV-0000015,PO-000014,FUR-BO-10001337,WH-WEST,2015-03-28,19,Received
RCV-0000850,PO-000772,FUR-FU-10004020,WH-CENTRAL,2015-03-28,10,Received
RCV-0001534,PO-001397,OFF-AR-10001955,WH-EAST,2015-03-28,10,Received
RCV-0001866,PO-001700,OFF-BI-10000605,WH-SOUTH,2015-03-28,19,Received
RCV-0002266,PO-002059,OFF-BI-10003529,WH-EAST,2015-03-28,15,Received
RCV-0003057,PO-002763,OFF-PA-10000466,WH-CENTRAL,2015-03-28,13,Received
RCV-0003430,PO-003099,OFF-PA-10002986,WH-WEST,2015-03-28,10,Received
RCV-0003846,PO-003482,OFF-ST-10001511,WH-WEST,2015-03-28,11,Received
RCV-0003957,PO-003588,OFF-ST-10002957,WH-WEST,2015-03-28,10,Received
RCV-0004032,PO-003658,OFF-ST-10004180,WH-WEST,2015-03-28,14,Received
RCV-0001316,PO-001194,OFF-AP-10003842,WH-EAST,2015-03-29,13,Received
RCV-0001375,PO-001247,OFF-AR-10000127,WH-SOUTH,2015-03-29,16,Received
RCV-0002740,PO-002476,OFF-FA-10003112,WH-SOUTH,2015-03-29,15,Received
RCV-0003593,PO-003252,OFF-PA-10004248,WH-CENTRAL,2015-03-29,10,Received
RCV-0003773,PO-003417,OFF-ST-10000918,WH-SOUTH,2015-03-29,10,Received
RCV-0003058,PO-002763,OFF-PA-10000466,WH-CENTRAL,2015-03-30,4,Received
RCV-0003569,PO-003230,OFF-PA-10004071,WH-EAST,2015-03-30,16,Received
RCV-0003732,PO-003379,OFF-ST-10000636,WH-WEST,2015-03-30,16,Received
RCV-0004137,PO-003754,OFF-SU-10002881,WH-EAST,2015-03-30,14,Received
RCV-0004222,PO-003831,TEC-AC-10000710,WH-SOUTH,2015-03-30,5,Received
RCV-0004538,PO-004125,TEC-AC-10004659,WH-CENTRAL,2015-03-30,13,Received
RCV-0000949,PO-000862,FUR-TA-10000688,WH-CENTRAL,2015-03-31,12,Received
RCV-0001502,PO-001368,OFF-AR-10001725,WH-WEST,2015-03-31,14,Received
RCV-0002314,PO-002101,OFF-BI-10003719,WH-EAST,2015-03-31,10,Received
RCV-0002981,PO-002694,OFF-PA-10000100,WH-SOUTH,2015-03-31,11,Received
RCV-0003298,PO-002982,OFF-PA-10001977,WH-WEST,2015-03-31,13,Received
RCV-0003774,PO-003417,OFF-ST-10000918,WH-SOUTH,2015-03-31,7,Received
RCV-0004409,PO-004001,TEC-AC-10002926,WH-WEST,2015-03-31,12,Received
RCV-0000510,PO-000463,FUR-FU-10000747,WH-EAST,2015-04-01,10,Received
RCV-0000617,PO-000560,FUR-FU-10001918,WH-WEST,2015-04-01,10,Received
RCV-0000837,PO-000760,FUR-FU-10003981,WH-SOUTH,2015-04-01,18,Received
RCV-0000885,PO-000804,FUR-FU-10004415,WH-EAST,2015-04-01,10,Received
RCV-0001058,PO-000961,FUR-TA-10003748,WH-WEST,2015-04-01,11,Received
RCV-0001645,PO-001501,OFF-AR-10003478,WH-CENTRAL,2015-04-01,22,Received
RCV-0002371,PO-002147,OFF-BI-10004140,WH-WEST,2015-04-01,17,Received
