product_id,product_name,category,sub_category,supplier_id,supplier_name,default_warehouse_id,lead_time_days,avg_unit_price,standard_unit_cost,reorder_point_qty,target_stock_qty
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-EAST,12,$183.38,$110.26,5,10
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-CENTRAL,15,$144.79,$85.89,5,10
FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-SOUTH,10,$57.83,$35.34,5,10
FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-WEST,17,$191.25,$118.76,5,10
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,16,$208.59,$120.04,5,10
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,18,$152.54,$96.67,5,10
FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-EAST,10,$189.81,$115.67,5,10
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,18,$175.56,$105.61,5,10
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,17,$75.54,$43.27,5,10
FUR-CH-10000988,Hon Olson Stacker Stools,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-WEST,17,$156.34,$89.23,5,10
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,12,$73.41,$42.71,5,10
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,11,$44.61,$27.93,5,10
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-WEST,18,$578.38,$356.11,5,10
FUR-CH-10001270,Harbour Creations Steel Folding Chair,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-SOUTH,13,$255.00,$151.01,5,10
FUR-CH-10001394,Global Leather Executive Chair,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,10,$195.19,$118.96,5,10
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-SOUTH,10,$85.92,$54.13,5,10
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-EAST,11,$43.45,$26.35,5,10
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-EAST,18,$140.98,$85.71,5,10
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,15,$102.17,$63.66,5,10
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-EAST,17,$72.57,$44.03,5,10
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,10,$108.31,$68.55,5,10
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-WEST,18,$307.59,$191.38,5,10
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-WEST,17,$54.75,$32.22,5,10
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-CENTRAL,14,$115.69,$67.68,5,10
FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-CENTRAL,17,$12.55,$8.16,5,10
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,18,$754.89,$447.16,5,10
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,17,$103.69,$66.44,5,10
FUR-CH-10002073,Hon Olson Stacker Chairs,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-SOUTH,12,$193.62,$120.04,5,10
FUR-CH-10002084,Hon Mobius Operator's Chair,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,13,$216.34,$126.25,5,10
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,11,$324.12,$207.17,5,10
FUR-CH-10002304,"Global Stack Chair without Arms, Black",Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,13,$34.90,$21.19,5,10
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-WEST,16,$207.18,$126.12,5,10
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,17,$279.52,$159.49,5,10
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,13,$184.22,$107.93,5,10
FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,16,$164.37,$106.34,5,10
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-EAST,14,$29.82,$18.66,5,10
FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-EAST,11,$91.15,$58.38,5,10
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-WEST,11,$75.95,$47.57,5,10
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-EAST,18,$42.66,$25.61,5,10
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,10,$203.32,$116.56,5,10
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-WEST,12,$33.26,$20.50,5,10
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,11,$100.08,$57.54,5,10
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,10,$112.61,$69.01,5,10
FUR-CH-10002961,"Leather Task Chair, Black",Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-WEST,18,$37.12,$23.73,5,10
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-EAST,18,$176.44,$106.01,5,10
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,18,$38.66,$24.03,5,10
FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-EAST,18,$57.90,$35.74,5,10
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-EAST,10,$200.90,$119.60,5,10
FUR-CH-10003312,Hon 2090 â€œPillow Softâ€ Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-WEST,10,$218.36,$139.12,5,10
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-EAST,10,$262.42,$169.47,5,10
FUR-CH-10003396,Global Deluxe Steno Chair,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-WEST,11,$44.87,$27.42,5,10
FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-EAST,16,$49.47,$28.89,5,10
FUR-CH-10003606,SAFCO Folding Chair Trolley,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,15,$78.37,$47.40,5,10
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-EAST,16,$247.27,$148.94,5,10
FUR-CH-10003761,Global Italian Leather Office Chair,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-EAST,16,$59.30,$37.35,10,25
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,14,$79.61,$49.92,5,10
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-EAST,12,$56.86,$35.97,5,10
FUR-CH-10003833,Novimex Fabric Task Chair,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-WEST,10,$53.41,$31.88,5,10
FUR-CH-10003846,Hon Valutask Swivel Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,14,$49.85,$29.29,5,10
FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-WEST,18,$97.85,$62.64,5,10
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-EAST,18,$75.83,$48.10,5,10
FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-WEST,18,$356.23,$208.14,5,10
FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,14,$160.61,$95.56,5,10
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,17,$447.44,$290.09,5,10
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,10,$475.40,$300.24,5,10
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-EAST,10,$168.04,$100.62,5,10
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,18,$288.36,$179.28,5,10
FUR-CH-10004289,Global Super Steno Chair,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-CENTRAL,17,$61.61,$38.85,5,10
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-SOUTH,11,$61.10,$37.86,5,10
FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-WEST,18,$236.71,$136.11,5,10
FUR-CH-10004540,Global Chrome Stack Chair,Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,16,$28.66,$16.96,5,10
FUR-CH-10004626,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,17,$105.18,$65.92,5,10
FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,16,$261.96,$163.73,5,10
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-CENTRAL,11,$51.43,$33.37,5,10
FUR-CH-10004754,"Global Stack Chair with Arms, Black",Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,17,$21.94,$14.20,5,10
FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,11,$250.24,$152.83,5,10
FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-EAST,18,$50.41,$31.66,5,10
FUR-CH-10004875,Harbour Creations 67200 Series Stacking Chairs,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,17,$49.75,$28.55,5,10
FUR-CH-10004886,Bevis Steel Folding Chairs,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-WEST,15,$91.01,$54.95,5,10
FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-EAST,11,$248.45,$148.85,5,10
FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,SUP-FUR-04,Cedar Contract Goods,WH-CENTRAL,14,$243.27,$148.03,5,10
FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,13,$4.31,$2.58,5,10
FUR-FU-10000023,Eldon Wave Desk Accessories,Furniture,Furnishings,SUP-FUR-01,Northwood Furnishings,WH-WEST,11,$5.44,$3.41,5,10
FUR-FU-10000073,Deflect-O Glasstique Clear Desk Accessories,Furniture,Furnishings,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,16,$6.16,$3.81,5,10
FUR-FU-10000076,24-Hour Round Wall Clock,Furniture,Furnishings,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,17,$24.17,$15.70,5,10
FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings,SUP-FUR-03,Summit Office Interiors,WH-SOUTH,18,$10.83,$6.50,5,10
FUR-FU-10000175,DAX Wood Document Frame.,Furniture,Furnishings,SUP-FUR-04,Cedar Contract Goods,WH-CENTRAL,16,$12.75,$7.29,5,10
FUR-FU-10000193,Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,11,$15.47,$9.67,5,10
FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,16,$0.89,$1.00,5,10
FUR-FU-10000221,"Master Caster Door Stop, Brown",Furniture,Furnishings,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,17,$6.38,$3.66,5,10
FUR-FU-10000222,"Seth Thomas 16"" Steel Case Clock",Furniture,Furnishings,SUP-FUR-01,Northwood Furnishings,WH-EAST,14,$14.49,$8.29,5,10
FUR-FU-10000246,Aluminum Document Frame,Furniture,Furnishings,SUP-FUR-03,Summit Office Interiors,WH-WEST,13,$14.96,$8.70,5,10
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,15,$17.66,$10.40,5,10
FUR-FU-10000277,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Furnishings,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,16,$48.16,$30.29,5,10
FUR-FU-10000293,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,15,$43.86,$25.73,5,10
FUR-FU-10000305,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",Furniture,Furnishings,SUP-FUR-04,Cedar Contract Goods,WH-WEST,14,$66.92,$39.91,5,10
FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,Furniture,Furnishings,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,16,$47.00,$28.27,5,10
FUR-FU-10000320,OIC Stacking Trays,Furniture,Furnishings,SUP-FUR-03,Summit Office Interiors,WH-EAST,10,$7.52,$4.80,5,10
